K_cap,group_size,max_offspring,threshold,type,beta,rep,extinct,time_to_extinction
250,1,3,0,TRUE,1,1,1,328
500,1,3,0,TRUE,1,1,1,355
1000,1,3,0,TRUE,1,1,1,334
250,3,3,0,TRUE,1,1,1,339
500,3,3,0,TRUE,1,1,1,351
1000,3,3,0,TRUE,1,1,1,326
250,5,3,0,TRUE,1,1,1,290
500,5,3,0,TRUE,1,1,1,355
1000,5,3,0,TRUE,1,1,1,393
250,10,3,0,TRUE,1,1,1,345
500,10,3,0,TRUE,1,1,1,386
1000,10,3,0,TRUE,1,1,1,360
250,1,6,0,TRUE,1,1,1,384
500,1,6,0,TRUE,1,1,1,364
1000,1,6,0,TRUE,1,1,1,385
250,3,6,0,TRUE,1,1,1,374
500,3,6,0,TRUE,1,1,1,345
1000,3,6,0,TRUE,1,1,1,414
250,5,6,0,TRUE,1,1,1,357
500,5,6,0,TRUE,1,1,1,369
1000,5,6,0,TRUE,1,1,1,386
250,10,6,0,TRUE,1,1,1,432
500,10,6,0,TRUE,1,1,1,424
1000,10,6,0,TRUE,1,1,1,424
250,1,10,0,TRUE,1,1,1,363
500,1,10,0,TRUE,1,1,1,365
1000,1,10,0,TRUE,1,1,1,417
250,3,10,0,TRUE,1,1,1,439
500,3,10,0,TRUE,1,1,1,482
1000,3,10,0,TRUE,1,1,0,NA
250,5,10,0,TRUE,1,1,1,427
500,5,10,0,TRUE,1,1,1,435
1000,5,10,0,TRUE,1,1,1,447
250,10,10,0,TRUE,1,1,1,416
500,10,10,0,TRUE,1,1,0,NA
1000,10,10,0,TRUE,1,1,1,475
250,1,3,0.25,TRUE,1,1,1,358
500,1,3,0.25,TRUE,1,1,1,317
1000,1,3,0.25,TRUE,1,1,1,328
250,3,3,0.25,TRUE,1,1,1,360
500,3,3,0.25,TRUE,1,1,1,341
1000,3,3,0.25,TRUE,1,1,1,361
250,5,3,0.25,TRUE,1,1,1,328
500,5,3,0.25,TRUE,1,1,1,380
1000,5,3,0.25,TRUE,1,1,0,NA
250,10,3,0.25,TRUE,1,1,1,393
500,10,3,0.25,TRUE,1,1,1,383
